iter	Passed	Remaining
641	997	556
642	998	554
643	999	552
644	1000	550
645	1002	549
646	1003	547
647	1004	545
648	1005	543
649	1006	542
650	1008	540
651	1009	538
652	1010	536
653	1011	535
654	1012	533
655	1013	531
656	1014	529
657	1015	528
658	1017	526
659	1018	524
660	1019	522
661	1020	521
662	1021	519
663	1022	517
664	1023	515
665	1024	514
666	1026	512
667	1027	510
668	1028	508
669	1029	507
670	1030	505
671	1032	503
672	1033	502
673	1034	500
674	1035	498
675	1036	497
676	1038	495
677	1039	493
678	1040	491
679	1041	490
680	1042	488
681	1044	486
682	1045	485
683	1046	483
684	1047	481
685	1048	479
686	1049	478
687	1050	476
688	1052	474
689	1053	473
690	1054	471
691	1056	470
692	1057	468
693	1058	466
694	1059	465
695	1060	463
696	1061	461
697	1062	459
698	1064	458
699	1065	456
700	1066	454
701	1067	453
702	1068	451
703	1070	449
704	1071	448
705	1071	446
706	1073	444
707	1074	443
708	1075	441
709	1076	439
710	1078	438
711	1079	436
712	1080	434
713	1081	433
714	1083	431
715	1084	430
716	1085	428
717	1086	426
718	1087	425
719	1089	423
720	1090	421
721	1091	420
722	1092	418
723	1093	416
724	1094	415
725	1096	413
726	1097	412
727	1098	410
728	1099	408
729	1101	407
730	1102	405
731	1103	404
732	1104	402
733	1105	400
734	1106	399
735	1107	397
736	1109	395
737	1110	394
738	1111	392
739	1112	390
740	1113	389
741	1115	387
742	1116	386
743	1117	384
744	1118	382
745	1119	381
746	1120	379
747	1122	378
748	1123	376
749	1124	374
750	1125	373
751	1126	371
752	1127	370
753	1129	368
754	1130	366
755	1131	365
756	1132	363
757	1133	361
758	1134	360
759	1136	358
760	1137	357
761	1138	355
762	1139	353
763	1140	352
764	1142	350
765	1143	349
766	1144	347
767	1145	346
768	1146	344
769	1148	342
770	1149	341
771	1150	339
772	1151	338
773	1152	336
774	1154	335
775	1155	333
776	1156	331
777	1157	330
778	1158	328
779	1159	327
780	1160	325
781	1162	323
782	1163	322
783	1164	320
784	1165	319
785	1167	317
786	1168	316
787	1169	314
788	1170	313
789	1171	311
790	1172	309
791	1174	308
792	1175	306
793	1176	305
794	1177	303
795	1178	302
796	1180	300
797	1181	299
798	1182	297
799	1183	295
800	1184	294
801	1185	292
802	1186	291
803	1188	289
804	1189	288
805	1190	286
806	1191	284
807	1192	283
808	1194	281
809	1195	280
810	1196	278
811	1197	277
812	1198	275
813	1199	274
814	1200	272
815	1202	271
816	1203	269
817	1203	267
818	1205	266
819	1206	264
820	1207	263
821	1208	261
822	1209	260
823	1210	258
824	1212	257
825	1213	255
826	1214	254
827	1215	252
828	1216	250
829	1218	249
830	1219	247
831	1220	246
832	1221	244
833	1223	243
834	1224	241
835	1225	240
836	1226	238
837	1227	237
838	1228	235
839	1230	234
840	1231	232
841	1232	231
842	1233	229
843	1234	228
844	1235	226
845	1237	225
846	1238	223
847	1239	222
848	1240	220
849	1241	219
850	1242	217
851	1244	216
852	1245	214
853	1246	213
854	1247	211
855	1248	210
856	1250	208
857	1251	207
858	1252	205
859	1253	204
860	1254	202
861	1255	201
862	1256	199
863	1258	198
864	1259	196
865	1260	195
866	1261	193
867	1262	192
868	1264	190
869	1265	189
870	1266	187
871	1267	186
872	1269	184
873	1270	183
874	1271	181
875	1272	180
876	1274	178
877	1275	177
878	1276	175
879	1277	174
880	1278	172
881	1280	171
882	1281	169
883	1282	168
884	1283	166
885	1284	165
886	1285	163
887	1287	162
888	1288	160
889	1289	159
890	1290	157
891	1291	156
892	1292	154
893	1294	153
894	1295	151
895	1296	150
896	1297	148
897	1298	147
898	1299	146
899	1300	144
900	1301	143
901	1303	141
902	1304	140
903	1305	138
904	1306	137
905	1307	135
906	1308	134
907	1309	132
908	1311	131
909	1312	129
910	1313	128
911	1314	126
912	1315	125
913	1317	123
914	1318	122
915	1319	120
916	1320	119
917	1321	118
918	1322	116
919	1324	115
920	1325	113
921	1326	112
922	1327	110
923	1328	109
924	1329	107
925	1331	106
926	1332	104
927	1333	103
928	1334	102
929	1335	100
930	1337	99
931	1338	97
932	1339	96
933	1340	94
934	1341	93
935	1342	91
936	1343	90
937	1345	88
938	1346	87
939	1347	86
940	1348	84
941	1349	83
942	1351	81
943	1352	80
944	1353	78
945	1354	77
946	1355	75
947	1356	74
948	1358	72
949	1359	71
950	1360	70
951	1361	68
952	1362	67
953	1364	65
954	1365	64
955	1366	62
956	1367	61
957	1368	60
958	1369	58
959	1371	57
960	1372	55
961	1373	54
962	1374	52
963	1375	51
964	1376	49
965	1378	48
966	1379	47
967	1380	45
968	1381	44
969	1382	42
970	1383	41
971	1384	39
972	1386	38
973	1387	37
974	1388	35
975	1389	34
976	1390	32
977	1391	31
978	1392	29
979	1394	28
980	1395	27
981	1396	25
982	1397	24
983	1398	22
984	1399	21
985	1401	19
986	1402	18
987	1403	17
988	1404	15
989	1405	14
990	1406	12
991	1408	11
992	1409	9
993	1410	8
994	1411	7
995	1412	5
996	1414	4
997	1415	2
998	1416	1
999	1417	0
